COUNTY,YEARS,STRATA,AGE GROUP,LIFETIME PREVALENCE,95% CONFIDENCE INTERVAL,COUNTIES GROUPED,COMMENT
Trinity,2017–2018,Age groups,5–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Tulare,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Tuolumne,2017–2018,Age groups,5–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Ventura,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Yolo,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Yuba,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
California,2017–2018,Age groups,18–64 years,16.3%,(15.5–17.1),,
Alameda,2017–2018,Age groups,18–64 years,13.2%,(9.1–17.3),,
Alpine,2017–2018,Age groups,18–64 years,25.5%,(9.7–41.4),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Amador,2017–2018,Age groups,18–64 years,25.5%,(9.7–41.4),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Butte,2017–2018,Age groups,18–64 years,19.6%,(10.3–28.8),,
Calaveras,2017–2018,Age groups,18–64 years,25.5%,(9.7–41.4),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Colusa,2017–2018,Age groups,18–64 years,19.8%,(10.2–29.5),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Contra Costa,2017–2018,Age groups,18–64 years,21.0%,(15.1–26.8),,
Del Norte,2017–2018,Age groups,18–64 years,20.4%,(8.0–32.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
El Dorado,2017–2018,Age groups,18–64 years,19.7%,(6.3–33.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Fresno,2017–2018,Age groups,18–64 years,21.2%,(14.6–27.7),,
Glenn,2017–2018,Age groups,18–64 years,19.8%,(10.2–29.5),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Humboldt,2017–2018,Age groups,18–64 years,18.0%,(9.9–26.1),,
Imperial,2017–2018,Age groups,18–64 years,16.6%,(6.9–26.4),,
Inyo,2017–2018,Age groups,18–64 years,25.5%,(9.7–41.4),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Kern,2017–2018,Age groups,18–64 years,16.7%,(9.0–24.5),,
Kings,2017–2018,Age groups,18–64 years,15.5%,(9.1–22.0),,
Lake,2017–2018,Age groups,18–64 years,14.6%,(6.5–22.8),,
Lassen,2017–2018,Age groups,18–64 years,20.4%,(8.0–32.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Los Angeles,2017–2018,Age groups,18–64 years,14.9%,(13.3–16.5),,
Madera,2017–2018,Age groups,18–64 years,19.3%,(10.4–28.1),,
Marin,2017–2018,Age groups,18–64 years,15.6%,(7.4–23.8),,
Mariposa,2017–2018,Age groups,18–64 years,25.5%,(9.7–41.4),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Mendocino,2017–2018,Age groups,18–64 years,14.7%,(2.8–26.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Merced,2017–2018,Age groups,18–64 years,16.0%,(6.7–25.2),,
Modoc,2017–2018,Age groups,18–64 years,20.4%,(8.0–32.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Mono,2017–2018,Age groups,18–64 years,25.5%,(9.7–41.4),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Monterey,2017–2018,Age groups,18–64 years,15.5%,(7.3–23.7),,
Napa,2017–2018,Age groups,18–64 years,26.0%,(9.4–42.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Nevada,2017–2018,Age groups,18–64 years,22.4%,(6.5–38.3),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Orange,2017–2018,Age groups,18–64 years,12.8%,(8.9–16.7),,
Placer,2017–2018,Age groups,18–64 years,16.5%,(6.1–26.9),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Plumas,2017–2018,Age groups,18–64 years,20.4%,(8.0–32.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Riverside,2017–2018,Age groups,18–64 years,16.4%,(8.9–23.8),,
Sacramento,2017–2018,Age groups,18–64 years,22.5%,(17.0–27.9),,
San Benito,2017–2018,Age groups,18–64 years,,,,Prevalence not available due to unreliable estimate
San Bernardino,2017–2018,Age groups,18–64 years,16.6%,(12.3–20.9),,
San Diego,2017–2018,Age groups,18–64 years,16.8%,(13.2–20.3),,
San Francisco,2017–2018,Age groups,18–64 years,13.8%,(8.4–19.2),,
San Joaquin,2017–2018,Age groups,18–64 years,23.8%,(14.0–33.5),,
San Luis Obispo,2017–2018,Age groups,18–64 years,14.4%,(6.6–22.2),,
San Mateo,2017–2018,Age groups,18–64 years,16.2%,(8.9–23.5),,
Santa Barbara,2017–2018,Age groups,18–64 years,18.0%,(0.4–35.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Santa Clara,2017–2018,Age groups,18–64 years,14.9%,(11.0–18.9),,
Santa Cruz,2017–2018,Age groups,18–64 years,17.5%,(9.8–25.2),,
Shasta,2017–2018,Age groups,18–64 years,14.3%,(4.8–23.9),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Sierra,2017–2018,Age groups,18–64 years,20.4%,(8.0–32.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Siskiyou,2017–2018,Age groups,18–64 years,20.4%,(8.0–32.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Solano,2017–2018,Age groups,18–64 years,23.1%,(10.6–35.6),,
Sonoma,2017–2018,Age groups,18–64 years,18.3%,(6.3–30.3),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Stanislaus,2017–2018,Age groups,18–64 years,18.2%,(9.3–27.2),,
Sutter,2017–2018,Age groups,18–64 years,31.6%,(18.7–44.6),,
Tehama,2017–2018,Age groups,18–64 years,19.8%,(10.2–29.5),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Trinity,2017–2018,Age groups,18–64 years,20.4%,(8.0–32.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Tulare,2017–2018,Age groups,18–64 years,15.2%,(8.7–21.8),,
Tuolumne,2017–2018,Age groups,18–64 years,25.5%,(9.7–41.4),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Ventura,2017–2018,Age groups,18–64 years,11.5%,(6.5–16.5),,
Yolo,2017–2018,Age groups,18–64 years,21.9%,(10.1–33.8),,
Yuba,2017–2018,Age groups,18–64 years,21.8%,(10.6–33.0),,
California,2017–2018,Age groups,65+ years,14.1%,(12.7–15.5),,
Alameda,2017–2018,Age groups,65+ years,13.7%,(5.1–22.4),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Alpine,2017–2018,Age groups,65+ years,20.6%,(7.6–33.5),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Amador,2017–2018,Age groups,65+ years,20.6%,(7.6–33.5),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Butte,2017–2018,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
Calaveras,2017–2018,Age groups,65+ years,20.6%,(7.6–33.5),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Colusa,2017–2018,Age groups,65+ years,16.7%,(2.6–30.9),"Colusa, Glenn, and Tehama counties combined combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Contra Costa,2017–2018,Age groups,65+ years,15.0%,(6.3–23.7),,
Del Norte,2017–2018,Age groups,65+ years,16.5%,(5.2–27.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
El Dorado,2017–2018,Age groups,65+ years,11.2%,(0.6–21.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Fresno,2017–2018,Age groups,65+ years,16.5%,(4.5–28.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Glenn,2017–2018,Age groups,65+ years,16.7%,(2.6–30.9),"Colusa, Glenn, and Tehama counties combined combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Humboldt,2017–2018,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
Imperial,2017–2018,Age groups,65+ years,22.1%,(3.5–40.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Inyo,2017–2018,Age groups,65+ years,20.6%,(7.6–33.5),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Kern,2017–2018,Age groups,65+ years,14.0%,(3.0–24.9),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Kings,2017–2018,Age groups,65+ years,13.0%,(3.8–22.3),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Lake,2017–2018,Age groups,65+ years,19.1%,(6.1–32.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Lassen,2017–2018,Age groups,65+ years,16.5%,(5.2–27.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Los Angeles,2017–2018,Age groups,65+ years,12.9%,(10.1–15.8),,
Madera,2017–2018,Age groups,65+ years,17.6%,(0.1–35.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Marin,2017–2018,Age groups,65+ years,13.9%,(2.7–25.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Mariposa,2017–2018,Age groups,65+ years,20.6%,(7.6–33.5),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Mendocino,2017–2018,Age groups,65+ years,20.3%,(3.2–37.4),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Merced,2017–2018,Age groups,65+ years,25.9%,(4.6–47.3),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Modoc,2017–2018,Age groups,65+ years,16.5%,(5.2–27.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Mono,2017–2018,Age groups,65+ years,20.6%,(7.6–33.5),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Monterey,2017–2018,Age groups,65+ years,14.4%,(6.0–22.9),,
Napa,2017–2018,Age groups,65+ years,20.2%,(5.2–35.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Nevada,2017–2018,Age groups,65+ years,11.4%,(1.8–21.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Orange,2017–2018,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
Placer,2017–2018,Age groups,65+ years,12.7%,(3.6–21.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Plumas,2017–2018,Age groups,65+ years,16.5%,(5.2–27.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Riverside,2017–2018,Age groups,65+ years,12.4%,(5.8–19.0),,
Sacramento,2017–2018,Age groups,65+ years,20.2%,(9.2–31.2),,
San Benito,2017–2018,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
San Bernardino,2017–2018,Age groups,65+ years,12.5%,(5.8–19.2),,
San Diego,2017–2018,Age groups,65+ years,11.6%,(7.1–16.1),,
San Francisco,2017–2018,Age groups,65+ years,13.1%,(3.0–23.3),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Joaquin,2017–2018,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
San Luis Obispo,2017–2018,Age groups,65+ years,17.2%,(6.5–28.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Mateo,2017–2018,Age groups,65+ years,15.4%,(2.2–28.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Santa Barbara,2017–2018,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
Santa Clara,2017–2018,Age groups,65+ years,16.4%,(9.2–23.6),,
Santa Cruz,2017–2018,Age groups,65+ years,17.3%,(4.2–30.4),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Shasta,2017–2018,Age groups,65+ years,8.9%,(3.2–14.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Sierra,2017–2018,Age groups,65+ years,16.5%,(5.2–27.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Siskiyou,2017–2018,Age groups,65+ years,16.5%,(5.2–27.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Solano,2017–2018,Age groups,65+ years,20.3%,(7.8–32.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Sonoma,2017–2018,Age groups,65+ years,19.7%,(6.5–32.9),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Stanislaus,2017–2018,Age groups,65+ years,15.5%,(1.6–29.4),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Sutter,2017–2018,Age groups,65+ years,27.3%,(8.4–46.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Tehama,2017–2018,Age groups,65+ years,16.7%,(2.6–30.9),"Colusa, Glenn, and Tehama counties combined combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Trinity,2017–2018,Age groups,65+ years,16.5%,(5.2–27.9),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Tulare,2017–2018,Age groups,65+ years,20.3%,(2.5–38.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Tuolumne,2017–2018,Age groups,65+ years,20.6%,(7.6–33.5),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Ventura,2017–2018,Age groups,65+ years,17.6%,(7.0–28.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Yolo,2017–2018,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
Yuba,2017–2018,Age groups,65+ years,17.7%,(2.8–32.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
